Client,SP Customer Number,Contract Number,Material Code,PCKG,Contract Start Date,Contract End Date,$ ACV,% ACV Subject to Royalty,$ Calc Royalty Base,$ Max Royalty Base,$ Actual Royalty Base,Ending Within 1 Month,Ending Within 2 Months,Ending Within 3 Months,Billed This Quarter,Is First Billing,Late New,Late Renewal
MAZARS ADMINISTRATION QLD PTY LTD,1004175634.0,137081111.0,41894585,beps,10/11/2022,10/10/2023,4025.110102,1,4025.110102,N/A,4025.110102,,,,False,,False,False
MAZARS MELBOURNE,1005384642.0,261297544.0,41894585,beps,07/30/2023,07/29/2024,5534.902285,1,5534.902285,N/A,5534.902285,,,,True,False,False,False
MONROE AUSTRALIA PTY LIMITED,1004176806.0,137064056.0,41894585,beps,10/04/2022,10/03/2023,4018.669144,1,4018.669144,N/A,4018.669144,,,,False,,False,False
MOORE AUSTRALIA,1004167157.0,260193735.0,41894585,beps,11/22/2022,11/21/2023,3559.895403,1,3559.895403,N/A,3559.895403,,,,False,,False,False
MORRIS COHEN GLEN & CO,1004166029.0,260898659.0,41894585,beps,02/28/2023,02/27/2024,4777.546105,1,4777.546105,N/A,4777.546105,,,True,False,,False,False
MUNICH HOLDINGS OF AUSTRALASIA PTY,1004036867.0,261468605.0,41894585,beps,09/12/2023,09/11/2024,5598.933388,1,5598.933388,N/A,5598.933388,,,,True,False,False,False
NEXIA SYDNEY,1005028964.0,260136175.0,41894585,beps,10/18/2022,10/17/2023,4186.113405,1,4186.113405,N/A,4186.113405,,,,False,,False,False
ORICA AUSTRALIA PTY LTD,1004140330.0,261150630.0,41894585,beps,07/01/2023,06/30/2024,43044.21277,1,43044.21277,N/A,43044.21277,,,,True,False,False,False
PETER ZHU & ASSOCIATES,1004174534.0,261308552.0,41894585,beps,08/01/2023,07/31/2024,5168.242499,1,5168.242499,N/A,5168.242499,,,,True,False,False,False
PKF MELBOURNE,1004135088.0,261080795.0,41894585,beps,06/04/2023,06/03/2024,5168.242499,1,5168.242499,N/A,5168.242499,,,,False,,False,False
PROSPERITY PERSONAL & CORPORATE,1004195302.0,260705944.0,41894585,beps,01/09/2023,01/08/2024,3979.287091,1,3979.287091,N/A,3979.287091,,True,,False,,False,False
RABOBANK AUSTRALIA LIMITED,1004164548.0,261276419.0,41894585,beps,09/15/2023,09/14/2024,3721.442334,1,3721.442334,N/A,3721.442334,,,,True,False,False,False
RICEGROWERS LIMITED,1004181765.0,261155113.0,41894585,beps,06/28/2023,06/27/2024,20917.60253,1,20917.60253,N/A,20917.60253,,,,False,,False,False
SHAW AND PARTNERS LTD,1005427580.0,261277671.0,41894585,beps,07/28/2023,07/27/2024,4380.14038,1,4380.14038,N/A,4380.14038,,,,True,False,False,False
STEWART BROWN,1004283294.0,260711339.0,41894585,beps,02/09/2023,02/08/2024,3216.866226,1,3216.866226,N/A,3216.866226,,,True,False,,False,False
SYMBION PTY LTD,1004185447.0,261515564.0,41894585,beps,09/29/2023,09/28/2024,3681.530416,1,3681.530416,N/A,3681.530416,,,,True,False,False,False
TRANSFER PRICING SOLUTIONS PTY LTD,1004921436.0,260173889.0,41894585,beps,12/17/2022,12/16/2023,5023.341591,1,5023.341591,N/A,5023.341591,True,,,False,,False,False
VENTIA PTY LTD,1004878319.0,261368933.0,41894585,beps,07/18/2023,07/17/2024,4128.819158,1,4128.819158,N/A,4128.819158,,,,True,True,False,False
WECONNECT BUSINESS ADVISORY PTY LTD,1005572632.0,260627657.0,41894585,beps,02/19/2023,02/18/2024,4019.157721,1,4019.157721,N/A,4019.157721,,,True,False,,False,False
WILLIS PARTNERS,1005701392.0,260757101.0,41894585,beps,03/09/2023,03/08/2024,3534.269199,1,3534.269199,N/A,3534.269199,,,,False,,False,False
WJ ACCOUNTING & BUSINESS ADVISORS,1005320512.0,260908884.0,41894585,beps,03/22/2023,03/21/2024,2504.816956,1,2504.816956,N/A,2504.816956,,,,False,,False,False
XERO LIMITED,1004936350.0,260821840.0,41894585,beps,03/31/2023,03/30/2024,9755.167716,1,9755.167716,N/A,9755.167716,,,,False,,False,False
