Client,SP Customer Number,Contract Number,Material Code,PCKG,Contract Start Date,Contract End Date,$ ACV,% ACV Subject to Royalty,$ Calc Royalty Base,$ Max Royalty Base,$ Actual Royalty Base,Ending Within 1 Month,Ending Within 2 Months,Ending Within 3 Months,Billed This Quarter,Is First Billing,Late New,Late Renewal,SP AM Rep Name,SP OWM AM Rep Name,SP CSM Rep Name
"METTLER-TOLEDO INTERNATIONAL, INC.",1003850783.0,135722355.0,42534897,itc,11/18/2022,11/17/2023,14037.92,1.0,14037.92,0.0,0.0,,,,False,,False,False,"ALARCON, BROOKE",UNASSIGNED REP,"HART, JACQUELINE"
"MINERALS TECHNOLOGIES, INC.",1003849525.0,135729501.0,42534897,itc,11/14/2022,11/13/2023,14173.29,1.0,14173.29,0.0,0.0,,,,False,,False,False,"CASALE, DAVID",UNASSIGNED REP,"BIANCO, NICHOLAS"
"MISTRAS GROUP, INC.",1004712703.0,261504474.0,42534897,itc,08/23/2023,08/22/2024,20400.0,1.0,20400.0,0.0,0.0,,,,False,,False,False,"OCONNOR, KORINNE",UNASSIGNED REP,"KOLITSOV, MARTIN"
"NEWPARK RESOURCES, INC.",1003850811.0,129881654.0,42534897,itc,01/01/2023,12/31/2023,14000.0,1.0,14000.0,0.0,0.0,,,,False,,False,False,"GENTLE, CHASE",UNASSIGNED REP,"SHEKHA, SAM"
"OKTA, INC",1005775606.0,260593953.0,42534897,itc,04/01/2023,03/31/2024,22500.0,1.0,22500.0,0.0,0.0,,,,False,,False,False,"BREUCKMAN, BARRETT",UNASSIGNED REP,"OTT, EVA"
PARKER HANNIFIN CORP,1005412624.0,261310057.0,42534897,itc,07/01/2023,06/30/2024,25384.0,1.0,25384.0,0.0,0.0,,,,False,,False,False,"NOLAND, MIKE",UNASSIGNED REP,"MULLIN, WENDY"
PENN ENGINEERING AND MANUFACTURING,1005193474.0,261085773.0,42533744,itc,05/05/2023,05/04/2024,18924.76,1.0,18924.76,0.0,0.0,,,,False,,False,False,UNASSIGNED REP,UNASSIGNED REP,"VERGARA, ANA LILIA"
PLANTRONICS INC.,1003849793.0,135918788.0,42534897,itc,05/01/2023,04/30/2024,18720.0,1.0,18720.0,0.0,0.0,,,,False,,False,False,"SALATA, STEPHEN",UNASSIGNED REP,"OTT, EVA"
"PLASTIPAK PACKAGING, INC.",1004628426.0,134034198.0,42534897,itc,12/31/2022,12/30/2023,15142.4,1.0,15142.4,0.0,0.0,,,,False,,False,False,"REILLY, NICHOLAS",UNASSIGNED REP,"BERNAL, ESTEFANIA"
"PRA GROUP, INC.",1004029651.0,135458967.0,42534897,itc,09/30/2023,09/29/2024,21632.0,1.0,21632.0,0.0,0.0,,,,False,,False,False,"CALLAWAY, JUDITH",UNASSIGNED REP,"PERALTA, IOSIMAR"
QUALCOMM INCORPORATED,1003850981.0,135893089.0,42534897,itc,08/01/2023,07/31/2024,25254.0,1.0,25254.0,0.0,0.0,,,,False,,False,False,"BREUCKMAN, BARRETT",UNASSIGNED REP,"DEWITT, DEBORAH"
QUANEX BUILDING PRODUCTS,1003852350.0,135321429.0,42534897,itc,10/01/2022,09/30/2023,15088.59,1.0,15088.59,0.0,0.0,,,,False,,False,False,"ANDREWS, JAY",UNASSIGNED REP,"SHEKHA, SAM"
RALPH LAUREN CORPORATION,1003849995.0,260677774.0,42534897,itc,01/18/2023,01/17/2024,14175.0,1.0,14175.0,0.0,0.0,,,,False,,False,False,"ADAMS, TYLER",UNASSIGNED REP,"CLEESATTEL, PAUL"
READING INTL INC,1005628687.0,135271374.0,42534897,itc,08/09/2023,08/08/2024,12979.2,1.0,12979.2,0.0,0.0,,,,False,,False,False,"HEITMAN, SPENCER",UNASSIGNED REP,"PATEL-SHAH, NIRALI"
SCOULAR,1005678185.0,135938477.0,42534897,itc,06/01/2023,05/31/2024,5813.6,1.0,5813.6,0.0,0.0,,,,False,,False,False,"MARCUS, JOEL",UNASSIGNED REP,"EVELOFF, MONA"
SERVICENOW,1005307668.0,261759099.0,42534897,itc,09/01/2023,08/31/2024,22500.0,1.0,22500.0,0.0,0.0,,,,False,,False,False,"BRYANT, JO",UNASSIGNED REP,"OTT, EVA"
SPX FLOW INC,1004871744.0,135165494.0,42534897,itc,07/21/2023,07/20/2024,14599.61,1.0,14599.61,0.0,0.0,,,,False,,False,False,UNASSIGNED REP,UNASSIGNED REP,"HOLMAN, CRYSTAL"
"STERICYCLE, INC.",1003853766.0,134336247.0,42534897,itc,01/01/2023,12/31/2023,13369.4,1.0,13369.4,0.0,0.0,,,,False,,False,False,"CADLE, PATRICK",UNASSIGNED REP,"KARTZ, SARA"
"TEVA PHARMACEUTICALS USA, INC.",1003851546.0,260049717.0,42534897,itc,12/01/2022,11/30/2023,15000.0,1.0,15000.0,0.0,0.0,,,,False,,False,False,"MCCULLOUGH, TOM",UNASSIGNED REP,"BOOTH, EVONNE"
TEXAS INSTRUMENTS INC.,1003850181.0,135680326.0,42534897,itc,12/01/2022,11/30/2023,21668.0,1.0,21668.0,0.0,0.0,,,,False,,False,False,"NUNAMAKER, KEN",UNASSIGNED REP,"WHITAKER, CATHY"
"TOPBUILD SUPPORT SERVICES,INC",1004775930.0,136708315.0,42534897,itc,12/02/2022,12/01/2023,7200.0,1.0,7200.0,0.0,0.0,,,,False,,False,False,UNASSIGNED REP,UNASSIGNED REP,"TELLEZ, PALOMA"
"TWIN DISC, INCORPORATED",1004107317.0,260932645.0,42534897,itc,03/15/2023,03/14/2024,7500.0,1.0,7500.0,0.0,0.0,,,,False,,False,False,"RAYMOND, LUCIA",UNASSIGNED REP,"MARTINEZ, MARIA"
UIPATH,1005716359.0,136441518.0,42534897,itc,06/01/2023,05/31/2024,25018.65,1.0,25018.65,0.0,0.0,,,,False,,False,False,"MASSIE, TYLER",UNASSIGNED REP,"CLEESATTEL, PAUL"
"UNIFI MANUFACTURING, INC.",1004879539.0,261350253.0,42534897,itc,07/11/2023,07/10/2024,1856.03,1.0,1856.03,0.0,0.0,,,,False,,False,False,"CHRISTAKIS, ELAINA",UNASSIGNED REP,"HOLMAN, CRYSTAL"
UNIVAR SOLUTIONS,1005739283.0,137056918.0,42534897,itc,10/01/2022,09/30/2023,22000.0,1.0,22000.0,0.0,0.0,,,,False,,False,False,UNASSIGNED REP,UNASSIGNED REP,"BRICENO MENDOZA, FERNANDO"
UNIVERSAL CORPORATION,1004943617.0,134370784.0,42534897,itc,03/12/2023,03/11/2024,21632.0,1.0,21632.0,0.0,0.0,,,,False,,False,False,UNASSIGNED REP,UNASSIGNED REP,"HOLMAN, CRYSTAL"
VIAD CORP,1003849351.0,260972717.0,42534897,itc,04/29/2023,04/28/2024,10000.0,1.0,10000.0,0.0,0.0,,,,False,,False,False,"BARGAR, BRADY",UNASSIGNED REP,"OTT, EVA"
"VMWARE, INC.",1003955591.0,261246792.0,42534897,itc,02/01/2023,01/31/2024,23400.0,1.0,23400.0,0.0,0.0,,,,False,,False,False,"D'ERRICO, ANTHONY",UNASSIGNED REP,"VERGARA, ANA LILIA"
VONTIER BUSINESS SERVICES LLC,1005508545.0,133948819.0,42534897,itc,12/07/2022,12/06/2023,20800.0,1.0,20800.0,0.0,0.0,,,,False,,False,False,"CALLAWAY, JUDITH",UNASSIGNED REP,"HOLMAN, CRYSTAL"
W. R. GRACE & CO. - CONN.,1003999446.0,136781958.0,42534897,itc,06/23/2023,06/22/2024,19468.8,1.0,19468.8,0.0,0.0,,,,False,,False,False,"CHRISTAKIS, ELAINA",UNASSIGNED REP,"ESCALANTE, ANTONIO"
WATERS CORPORATION,1004007883.0,132959426.0,42534897,itc,11/14/2022,11/13/2023,17379.63,1.0,17379.63,0.0,0.0,,,,False,,False,False,"CASALE, DAVID",UNASSIGNED REP,"KOLITSOV, MARTIN"
"WOODWARD, INC",1003851571.0,135975262.0,42534897,itc,11/14/2022,11/13/2023,12460.0,1.0,12460.0,0.0,0.0,,,,False,,False,False,"MARCUS, JOEL",UNASSIGNED REP,"VERGARA, ANA LILIA"
YAHOO INC,1005647667.0,135459416.0,42534897,itc,09/30/2023,09/29/2024,24336.0,1.0,24336.0,0.0,0.0,,,,False,,False,False,"MASSIE, TYLER",UNASSIGNED REP,"VAKIL, SHIVAM"
ZOOM VIDEO COMMUNICATIONS INC,1005800353.0,261219355.0,42534897,itc,06/01/2023,05/31/2024,18000.0,1.0,18000.0,0.0,0.0,,,,False,,False,False,"BRYANT, JO",UNASSIGNED REP,"ARROYO, JESSICA"
ABB POWER ELECTRONICS INC.,1005851154.0,261761219.0,42638816,pa,09/15/2023,09/14/2024,41060.0,0.14,5748.400000000001,8000.0,5748.400000000001,,,,False,,False,False,UNASSIGNED REP,UNASSIGNED REP,UNASSIGNED REP
ADVANCED DRAINAGE SYSTEMS INC,1005501953.0,261413590.0,42638814,pa,08/01/2023,07/30/2024,65436.8,0.14,9161.152000000002,8000.0,8000.0,,,,False,,False,False,"CHRISTAKIS, ELAINA",UNASSIGNED REP,"ESCALANTE, ANTONIO"
"ADVANCED MICRO DEVICES, INC.",1003853537.0,134088047.0,42638814,pa,01/01/2023,12/31/2023,55575.0,0.14,7780.500000000001,8000.0,7780.500000000001,,,,False,,False,False,"BRYANT, JO",UNASSIGNED REP,"LEMOINE, PABLO"
AECOM,1003850080.0,260661648.0,42638813,pa,01/01/2023,12/31/2023,177250.0,0.1,17725.0,8000.0,8000.0,,,,False,,False,False,"ANDREWS, JAY",UNASSIGNED REP,"SHEKHA, SAM"
"AHOLD DELHAIZE AMERICA HOLDING, INC",1003852376.0,261304772.0,42638814,pa,06/13/2023,06/11/2024,65047.5,0.14,9106.650000000001,8000.0,8000.0,,,,False,,False,False,"PULEO, FRANK",UNASSIGNED REP,"BERNAL, ESTEFANIA"
AIR METHODS CORPORATION,1004065738.0,261401581.0,42638814,pa,07/31/2023,07/29/2024,52643.64,0.14,7370.109600000001,8000.0,7370.109600000001,,,,False,,False,False,"MARCUS, JOEL",UNASSIGNED REP,"VERGARA, ANA LILIA"
"AIRBNB, INC.",1004953147.0,260361651.0,42638814,pa,07/12/2023,07/11/2024,116980.0,0.14,16377.2,8000.0,8000.0,,,,False,,False,False,"BREUCKMAN, BARRETT",UNASSIGNED REP,"OTT, EVA"
ALBANY INTERNATIONAL CORP.,1003851889.0,260174983.0,42638814,pa,12/01/2022,11/30/2023,86528.0,0.14,12113.920000000002,8000.0,8000.0,,,,False,,False,False,"CASALE, DAVID",UNASSIGNED REP,"HART, JACQUELINE"
"ALCON VISION, LLC",1005386230.0,133974296.0,42638814,pa,12/14/2022,12/13/2023,76752.0,0.14,10745.28,8000.0,8000.0,,,,False,,False,False,"D'ERRICO, ANTHONY",UNASSIGNED REP,"RUBIO, ALEJANDRO"
AMENTUM GOVT SERVICES HOLDINGS LLC,1005602487.0,135090615.0,42638814,pa,09/01/2023,08/31/2024,44616.0,0.14,6246.240000000001,8000.0,6246.240000000001,,,,False,,False,False,"MATHEWS, KAITLIN",UNASSIGNED REP,"HART, JACQUELINE"
AMERICAN EXPRESS TRAVEL RELATED SER,1003850056.0,260180334.0,43060271,pa,12/01/2022,11/30/2023,153920.0,0.26,40019.200000000004,30000.0,30000.0,,,,False,,False,False,"RUSSO, JENNIFER","RUSSO, JENNIFER","CLEESATTEL, PAUL"
AMERICAN GREETINGS CORPORATION,1003849385.0,136242709.0,42638814,pa,04/01/2023,03/31/2024,31158.73,0.14,4362.2222,8000.0,4362.2222,,,,False,,False,False,"NOLAND, MIKE",UNASSIGNED REP,"BERNAL, ESTEFANIA"
AMERICAN TOWERS LLC,1003850618.0,260513477.0,42638814,pa,12/12/2022,12/11/2023,74103.32,0.14,10374.464800000002,8000.0,8000.0,,,,False,,False,False,"FOGARTY, BOB",UNASSIGNED REP,"BIANCO, NICHOLAS"
AMERICAN WELL CORPORATION,1005707199.0,136778731.0,42638816,pa,07/05/2023,07/04/2024,30702.0,0.14,4298.280000000001,8000.0,4298.280000000001,,,,False,,False,False,"BARTHOLOMAY, MIKE",UNASSIGNED REP,"MARTINEZ, MARIA"
AMG ADVANCED METALLURGICAL GRP,1005765698.0,260323925.0,42638816,pa,11/17/2022,11/16/2023,25500.0,0.14,3570.0000000000005,8000.0,3570.0000000000005,,,,False,,False,False,UNASSIGNED REP,UNASSIGNED REP,"PERALTA, IOSIMAR"
AMPHENOL CORP,1003850086.0,260576873.0,42638813,pa,01/01/2023,12/31/2023,192275.0,0.1,19227.5,8000.0,8000.0,,,,False,,False,False,"CASALE, DAVID",UNASSIGNED REP,"BIANCO, NICHOLAS"
"AMUNDI US, INC.",1005391388.0,131614489.0,42638814,pa,12/02/2022,12/01/2023,29876.18,0.14,4182.6652,8000.0,4182.6652,,,,False,,False,False,"FOGARTY, BOB",UNASSIGNED REP,"LEMOINE, PABLO"
ANALOG DEVICES INC,1004446158.0,136379971.0,42638814,pa,09/01/2023,08/31/2024,84085.56,0.14,11771.9784,8000.0,8000.0,,,,False,,False,False,"FOGARTY, BOB",UNASSIGNED REP,"BIANCO, NICHOLAS"
APR ENERGY LLC,1005717544.0,136696611.0,42638816,pa,06/01/2023,05/31/2024,58552.0,0.14,8197.28,8000.0,8000.0,,,,False,,False,False,"CASH, JUSTIN",UNASSIGNED REP,"PATEL-SHAH, NIRALI"
ARAMARK CORPORATION,1004639915.0,261500509.0,43060271,pa,09/01/2023,08/30/2024,233250.0,0.26,60645.0,30000.0,30000.0,,,,False,,False,False,"GALLAGHER, PAT","GALLAGHER, PAT","STEPHAN, CRAIG"
"ARDENT LEGACY HOLDINGS, INC.",1003849580.0,260363255.0,42638814,pa,12/01/2022,11/30/2023,36293.21,0.14,5081.049400000001,8000.0,5081.049400000001,,,,False,,False,False,UNASSIGNED REP,UNASSIGNED REP,"EVELOFF, MONA"
ARTIVION INC,1005411368.0,132076805.0,42638814,pa,12/23/2022,12/22/2023,32621.06,0.14,4566.9484,8000.0,4566.9484,,,,False,,False,False,"HENRY, GERALD",UNASSIGNED REP,"PATEL-SHAH, NIRALI"
ASCEND PERFORMANCE MATERIALS HOLDIN,1004314870.0,261566343.0,42638814,pa,06/01/2023,05/30/2024,53648.44,0.14,7510.781600000001,8000.0,7510.781600000001,,,,False,,False,False,"GENTLE, CHASE",UNASSIGNED REP,"ARROYO, JESSICA"
ASTEC INDUSTRIES INC,1005452297.0,261137903.0,42638814,pa,05/23/2023,05/21/2024,53539.2,0.14,7495.488,8000.0,7495.488,,,,False,,False,False,UNASSIGNED REP,UNASSIGNED REP,"ROJAS, PAOLA"
ASTRAZENECA PHARMACEUTICALS LP,1003853549.0,132049718.0,42638813,pa,12/01/2022,11/30/2023,189019.45,0.1,18901.945000000003,8000.0,8000.0,,,,False,,False,False,"MATHEWS, KAITLIN",UNASSIGNED REP,"HART, JACQUELINE"
ASTRONICS CORPORATION,1005392049.0,133557272.0,42638816,pa,12/01/2022,11/30/2023,32448.0,0.14,4542.72,8000.0,4542.72,,,,False,,False,False,"CASALE, DAVID",UNASSIGNED REP,"HART, JACQUELINE"
AT HOME STORES LLC,1005584762.0,134469212.0,42638814,pa,04/01/2023,03/31/2024,61029.28,0.14,8544.0992,8000.0,8000.0,,,,False,,False,False,"NUNAMAKER, KEN",UNASSIGNED REP,"BRICENO MENDOZA, FERNANDO"
"AUTODESK, INC.",1003850724.0,260178704.0,43068051,pa,12/01/2022,11/30/2023,335296.0,0.26,87176.96,30000.0,30000.0,,,,False,,False,False,"BREUCKMAN, BARRETT","BREUCKMAN, BARRETT","WHITAKER, CATHY"
AVAGO TECHNOLOGIES U.S. INC,1003994394.0,134324131.0,42638813,pa,02/26/2023,02/25/2024,96250.0,0.1,9625.0,8000.0,8000.0,,,,False,,False,False,"BRYANT, JO",UNASSIGNED REP,"OTT, EVA"
"AVID TECH, INC",1005775234.0,260602141.0,42638816,pa,05/01/2023,04/30/2024,32500.0,0.14,4550.0,8000.0,4550.0,,,,False,,False,False,"BARTHOLOMAY, MIKE",UNASSIGNED REP,"MARTINEZ, MARIA"
AVIENT CORPORATION,1005012575.0,134662534.0,42638814,pa,08/01/2023,07/31/2024,57222.0,0.14,8011.080000000001,8000.0,8000.0,,,,False,,False,False,"NOLAND, MIKE",UNASSIGNED REP,"BERNAL, ESTEFANIA"
"AXALTA COATING SYSTEMS, LLC",1004579788.0,135836781.0,42638813,pa,12/01/2022,11/30/2023,240050.3,0.1,24005.03,8000.0,8000.0,,,,False,,False,False,"GALLAGHER, PAT",UNASSIGNED REP,"STEPHAN, CRAIG"
"AZENTA, INC",1003853820.0,132084605.0,42638816,pa,10/01/2022,09/30/2023,42500.0,0.14,5950.000000000001,8000.0,5950.000000000001,,,,False,,False,False,"MERRICK, SHAYNE",UNASSIGNED REP,"KOLITSOV, MARTIN"
AZZ INC,1005524049.0,133410163.0,42638814,pa,10/01/2022,09/30/2023,54718.56,0.14,7660.598400000001,8000.0,7660.598400000001,,,,False,,False,False,"NUNAMAKER, KEN",UNASSIGNED REP,"BERLIOZ PULIDO, GABRIELA"
BANK OF NEW YORK MELLON CORP,1003953112.0,137060391.0,42638813,pa,05/26/2023,05/25/2024,140608.0,0.1,14060.800000000001,8000.0,8000.0,,,,False,,False,False,"OCONNOR, KORINNE",UNASSIGNED REP,"HART, JACQUELINE"
BASF CORPORATION,1003849470.0,134427330.0,42638814,pa,12/01/2022,11/30/2023,60091.2,0.14,8412.768,8000.0,8000.0,,,,False,,False,False,"MCCULLOUGH, TOM",UNASSIGNED REP,"KOLITSOV, MARTIN"
BAUSCH & LOMB AMERICAS INC,1005762554.0,261485917.0,42638816,pa,08/22/2023,08/21/2024,84550.0,0.14,11837.000000000002,8000.0,8000.0,,,,False,,False,False,UNASSIGNED REP,UNASSIGNED REP,UNASSIGNED REP
"BAUSCH HEALTH US, LLC.",1003849589.0,260547263.0,42638813,pa,12/05/2022,12/04/2023,77760.0,0.1,7776.0,8000.0,7776.0,,,,False,,False,False,"MCCULLOUGH, TOM",UNASSIGNED REP,"KOLITSOV, MARTIN"
BEST BUY PURCHASING LLC,1003994401.0,260718412.0,43060271,pa,01/30/2023,11/30/2023,299698.0,0.26,77921.48,30000.0,30000.0,,,,False,,False,False,"WICKETT, MARK","WICKETT, MARK","CHAVARRIA, SILCA"
BIO-RAD LABORATORIES INC,1003851778.0,133015115.0,42638814,pa,07/02/2023,07/01/2024,63273.6,0.14,8858.304,8000.0,8000.0,,,,False,,False,False,"ANDREWS, JAY",UNASSIGNED REP,"OTT, EVA"
BIOCRYST PHARMACEUTICALS,1005775095.0,260530378.0,42638816,pa,05/30/2023,05/29/2024,27807.0,0.14,3892.9800000000005,8000.0,3892.9800000000005,,,,False,,False,False,"CASH, JUSTIN",UNASSIGNED REP,"MARTINEZ, MARIA"
"BJ'S WHOLESALE CLUB, INC.",1004991539.0,260663537.0,42638814,pa,01/01/2023,12/31/2023,66821.04,0.14,9354.9456,8000.0,8000.0,,,,False,,False,False,"MERRICK, SHAYNE",UNASSIGNED REP,"KOLITSOV, MARTIN"
