Client,SP Customer Number,Contract Number,Material Code,PCKG,Contract Start Date,Contract End Date,$ ACV,% ACV Subject to Royalty,$ Calc Royalty Base,$ Max Royalty Base,$ Actual Royalty Base,Ending Within 1 Month,Ending Within 2 Months,Ending Within 3 Months,Billed This Quarter,Is First Billing,Late New,Late Renewal
BANK OF NEW YORK MELLON CORP,1003953112,137060391,42638813,pa,5/26/2022,5/25/2023,135200,0.1,13520,8000,8000,,,,FALSE,,,
BASF CORPORATION,1003849470,134427330,42638814,pa,12/1/2022,11/30/2023,60091.2,0.14,8412.768,8000,8000,,,,TRUE,FALSE,,
"BAUSCH HEALTH US, LLC.",1003849589,260547263,42638813,pa,12/5/2022,12/4/2023,77760,0.1,7776,8000,7776,TRUE,,,TRUE,FALSE,,
BEST BUY PURCHASING LLC,1003994401,134972853,42927363,pa,12/1/2021,1/31/2023,263893,0.26,68612.18,30000,30000,,,,FALSE,,FALSE,TRUE
BIO-RAD LABORATORIES INC,1003851778,133015115,42638814,pa,7/2/2022,7/1/2023,60840,0.14,8517.6,8000,8000,,,,FALSE,,,
"BJ'S WHOLESALE CLUB, INC.",1004991539,131480126,42638814,pa,1/1/2022,12/31/2022,60746.4,0.14,8504.496,8000,8000,,,,FALSE,,,
BLACK & VEATCH CORPORATION,1003850198,133087510,42638814,pa,12/28/2022,12/27/2023,25266.18,0.14,3537.2652,8000,3537.2652,TRUE,,,TRUE,FALSE,,
BLACKLINE SYSTEMS INC,1005593165,135085867,42638816,pa,5/7/2022,5/6/2023,28348.32,0.14,3968.7648,8000,3968.7648,,,,FALSE,,,
"BLOCK, INC.",1004617816,135175787,42638813,pa,10/1/2022,9/30/2023,79300,0.1,7930,8000,7930,,,,TRUE,FALSE,,
BOEHRINGER INGELHEIM USA CORP,1003851244,137085501,42638814,pa,12/1/2022,11/30/2023,28291.26,0.14,3960.7764,8000,3960.7764,,,,TRUE,FALSE,,
BOOKING HOLDINGS INC.,1005391436,135823743,42638813,pa,10/1/2022,9/30/2023,163996.9,0.1,16399.69,8000,8000,,,,TRUE,FALSE,,
BORG WARNER INC.,1003850021,260174405,43060270,pa,12/1/2022,11/30/2023,323477,0.26,84104.02,30000,30000,,,,TRUE,FALSE,,
BOSTON SCIENTIFIC,1003854091,136250293,42638813,pa,3/1/2022,2/28/2023,137470.68,0.1,13747.068,8000,8000,,,,FALSE,,,
BRAND INDUSTRIAL SERVICES INC,1005554994,134087747,42638813,pa,1/1/2022,12/31/2022,109000,0.1,10900,8000,8000,,,,FALSE,,,
"BREAD FINANCIAL PAYMENTS, INC.",1004064289,260511584,42638814,pa,12/1/2022,11/30/2023,95000,0.14,13300,8000,8000,,,,TRUE,FALSE,,
BRIGHTSPRING HEALTH SERVICES,1005449173,132638242,42638814,pa,5/12/2022,5/11/2023,48672,0.14,6814.08,8000,6814.08,,,,FALSE,,,
"BW NHHC HOLDCO,INC.DBA ELARA CARING",1005310613,136299213,42638814,pa,9/2/2022,9/1/2023,39876.43,0.14,5582.7002,8000,5582.7002,,,,FALSE,,,
CABINETWORKS GROUP MICHIGAN LLC,1004007862,134061086,42638814,pa,12/31/2022,12/30/2023,34611.2,0.14,4845.568,8000,4845.568,TRUE,,,TRUE,FALSE,,
CADENCE BANK,1005380013,137030612,42638814,pa,8/19/2022,8/18/2023,40000,0.14,5600,8000,5600,,,,FALSE,,,
CANDELA CORP,1005694092,136156357,42638816,pa,4/4/2022,4/3/2023,35445,0.14,4962.3,8000,4962.3,,,,FALSE,,,
"CARESTREAM HEALTH, INC.",1003850944,135889496,42638814,pa,3/5/2022,3/4/2023,40104.61,0.14,5614.6454,8000,5614.6454,,,,FALSE,,,
CARGURUS LLC,1005323689,131270556,42638816,pa,1/1/2022,12/31/2022,48672,0.14,6814.08,8000,6814.08,,,,FALSE,,,
"CARMAX ENTERPRISE SERVICES, LLC",1004027262,132137066,42638815,pa,3/1/2022,2/28/2023,30000,0.24,7200,30000,7200,,,,FALSE,,,
"CARMAX ENTERPRISE SERVICES, LLC",1004027262,135113378,42927363,pa,2/1/2022,1/31/2023,30000,0.26,7800,30000,7800,,,,FALSE,,,
CARTER LUMBER,1003851476,136898775,42638814,pa,8/1/2022,7/31/2023,50340,0.14,7047.6,8000,7047.6,,,,FALSE,,,
CATALINA MARKETING CORPORATION,1005213596,136492913,42638816,pa,5/18/2022,5/17/2023,25830,0.14,3616.2,8000,3616.2,,,,FALSE,,,
CDM SMITH INC.,1005546253,133875402,42638814,pa,7/1/2022,6/30/2023,57200,0.14,8008,8000,8000,,,,FALSE,,,
CENTENE CORPORATION,1003852455,260181389,43060270,pa,12/1/2022,11/30/2023,572555,0.26,148864.3,30000,30000,,,,TRUE,FALSE,,
"CENTURI CONSTRUCTION GROUP, INC.",1005196073,132680242,42638814,pa,1/1/2022,12/31/2022,64896,0.14,9085.44,8000,8000,,,,FALSE,,,
CERENCE INC,1005597993,134655746,42638816,pa,5/21/2022,5/20/2023,29276,0.14,4098.64,8000,4098.64,,,,FALSE,,,
CF INDUSTRIES INC,1004034968,133024711,42638814,pa,12/19/2022,12/18/2023,98534.84,0.14,13794.8776,8000,8000,TRUE,,,TRUE,FALSE,,
CHARLES RIVER LABORATORIES,1003851646,260439971,43060271,pa,12/1/2022,11/30/2023,59090,0.26,15363.4,30000,15363.4,,,,TRUE,FALSE,,
CHEMED CORPORATION,1003850614,260208311,43060271,pa,12/1/2022,11/30/2023,56719,0.26,14746.94,30000,14746.94,,,,TRUE,FALSE,,
"CIGNA CORPORATE SERVICES, LLC",1004871142,260429133,43060270,pa,12/1/2022,11/30/2023,1055000,0.26,274300,30000,30000,,,,TRUE,FALSE,,
"CIRCOR INTERNATIONAL, INC.",1003853189,131943445,42638814,pa,1/1/2022,12/31/2022,44179.2,0.14,6185.088,8000,6185.088,,,,FALSE,,,
CIT GROUP (NJ) LLC.,1003852106,260374556,43060270,pa,12/1/2022,11/30/2023,510917,0.26,132838.42,30000,30000,,,,TRUE,FALSE,,
CLARIVATE,1004952048,133331517,42638814,pa,9/30/2022,9/29/2023,156832,0.14,21956.48,8000,8000,,,,FALSE,,,
CLEVELAND-CLIFFS INC.,1004345070,260101175,42638814,pa,12/1/2022,11/30/2023,36470.13,0.14,5105.8182,8000,5105.8182,,,,TRUE,FALSE,,
CNH AMERICA LLC,1003852110,260196299,42638813,pa,12/1/2022,11/30/2023,92638.26,0.1,9263.826,8000,8000,,,,TRUE,FALSE,,
CNX RESOURCES CORPORATION,1005219304,134636746,42638814,pa,5/2/2022,5/1/2023,54912,0.14,7687.68,8000,7687.68,,,,FALSE,,,
COGNYTE SOFTWARE INC,1005553330,134041261,42638814,pa,6/1/2022,5/31/2023,33800,0.14,4732,8000,4732,,,,FALSE,,,
COLLIBRA INC,1005599218,135017787,42638816,pa,6/15/2022,6/14/2023,38656.8,0.14,5411.952,8000,5411.952,,,,FALSE,,,
COLUMBUS MCKINNON CORPORATION,1003853194,136200197,42638814,pa,3/1/2022,2/28/2023,40700,0.14,5698,8000,5698,,,,FALSE,,,
COMMERCIAL METALS COMPANY,1003851251,135139295,42638814,pa,8/1/2022,7/31/2023,52000,0.14,7280,8000,7280,,,,FALSE,,,
"COMMUNITY TRUST BANCORP, INC.",1003853169,135895614,42638816,pa,1/1/2022,12/31/2022,20625,0.14,2887.5,8000,2887.5,,,,FALSE,,,
CONSOLIDATED EDISON CO. OF NY,1003849222,260337123,43060271,pa,12/1/2022,11/30/2023,123789,0.26,32185.14,30000,30000,,,,TRUE,FALSE,,
"CORELOGIC, INC.",1004003318,136897138,42638814,pa,7/1/2022,6/30/2023,65440.16,0.14,9161.6224,8000,8000,,,,FALSE,,,
CORONADO GLOBAL RESOURCES INC,1005388691,134367332,42638814,pa,1/1/2022,12/31/2022,40560,0.14,5678.4,8000,5678.4,,,,FALSE,,,
"COSTAR GROUP, INC.",1005241371,134749857,42638813,pa,7/2/2022,7/1/2023,59488,0.1,5948.8,8000,5948.8,,,,FALSE,,,
COX MEDIA GROUP LLC,1005495207,133024398,42638814,pa,7/7/2022,7/6/2023,38937.6,0.14,5451.264,8000,5451.264,,,,FALSE,,,
"CRA INTERNATIONAL, INC.",1003850266,131394568,42638816,pa,1/1/2022,12/31/2022,46682.59,0.14,6535.5626,8000,6535.5626,,,,FALSE,,,
"CRANE HOLDINGS, CO.",1003851329,132004329,42638814,pa,12/1/2022,11/30/2023,46272.19,0.14,6478.1066,8000,6478.1066,,,,TRUE,FALSE,,
CROSS RIVER BANK,1005662815,135914657,42638816,pa,12/30/2022,12/29/2023,24377.6,0.14,3412.864,8000,3412.864,TRUE,,,TRUE,FALSE,,
CROSSAMERICA PARTNERS LP,1005438067,132437718,42638814,pa,1/1/2022,12/31/2022,48802,0.14,6832.28,8000,6832.28,,,,FALSE,,,
"CSC HOLDINGS, LLC",1003850055,132078094,42638816,pa,1/1/2022,12/31/2022,67373.28,0.14,9432.2592,8000,8000,,,,FALSE,,,
CSW INDUSTRIALS INC,1005574196,134353818,42638816,pa,2/28/2022,2/27/2023,24224.72,0.14,3391.4608,8000,3391.4608,,,,FALSE,,,
CUMMINS INC.,1003850081,260180343,43060271,pa,12/1/2022,11/30/2023,184866,0.26,48065.16,30000,30000,,,,TRUE,FALSE,,
"CURIA GLOBAL, INC.",1005491606,135382231,42638814,pa,9/1/2022,8/31/2023,46800,0.14,6552,8000,6552,,,,FALSE,,,
"CYXTERA TECHNOLOGIES, LLC",1005400293,260617752,42638816,pa,11/4/2022,11/3/2023,43000,0.14,6020,8000,6020,,,,TRUE,FALSE,,
DASSAULT SYSTEMES AMERICAS CORP,1003874776,133150934,42638814,pa,12/1/2022,11/30/2023,67367.15,0.14,9431.401,8000,8000,,,,TRUE,FALSE,,
DAVITA INC,1003849710,260606717,43068051,pa,12/27/2022,11/30/2023,330270,0.26,85870.2,30000,30000,,,,TRUE,FALSE,,
DFS CORPORATE SVCS LLC,1003852631,135416504,42638813,pa,7/22/2022,7/21/2023,83012.8,0.1,8301.28,8000,8000,,,,FALSE,,,
"DICK'S SPORTING GOODS, INC.",1003851724,133321725,42638814,pa,9/25/2022,9/24/2023,21091.2,0.14,2952.768,8000,2952.768,,,,FALSE,,,
DISCORD INC,1005659081,135847979,42638816,pa,12/13/2022,12/12/2023,24377.6,0.14,3412.864,8000,3412.864,TRUE,,,TRUE,FALSE,,
"DISNEY FINANCIAL SERVICES CO., LLC",1003849882,260364343,42939096,pa,11/22/2022,9/30/2023,609613,0.26,158499.38,30000,30000,,,,TRUE,TRUE,,
"DNV GL USA, INC.",1004681829,136326025,42638814,pa,5/4/2022,5/3/2023,12000,0.14,1680,8000,1680,,,,FALSE,,,
DREW MARINE PARENT LLC,1005399505,131810007,42638816,pa,11/1/2022,10/31/2023,29544.84,0.14,4136.2776,8000,4136.2776,,,,TRUE,FALSE,,
DXC TECHNOLOGY SERVICES LLC,1004633265,132092491,42638815,pa,4/1/2022,3/31/2023,464701.12,0.24,111528.2688,30000,30000,,,,FALSE,,,
DYNATA LLC,1005595101,134703365,42638814,pa,7/1/2022,6/30/2023,57200,0.14,8008,8000,8000,,,,FALSE,,,
E*TRADE FINANCIAL CORPORATION,1003852144,132187314,42638813,pa,1/20/2022,1/19/2023,110250,0.1,11025,8000,8000,,,,FALSE,,,
ELLIOTT COMPANY,1003850037,133515440,42638813,pa,1/1/2022,12/31/2022,86250,0.1,8625,8000,8000,,,,FALSE,,,
EMCOR GROUP INC.,1003850452,135458463,42638814,pa,10/1/2022,9/30/2023,58500,0.14,8190,8000,8000,,,,TRUE,FALSE,,
EMERGENT BIOSOLUTIONS INC.,1004302229,133479617,42638814,pa,7/6/2022,7/5/2023,89700,0.14,12558,8000,8000,,,,FALSE,,,
"ENTERGY SERVICES, INC.",1004610620,260456496,43060271,pa,12/1/2022,11/30/2023,182000,0.26,47320,30000,30000,,,,TRUE,FALSE,,
EQT CORPORATION,1003852155,133522885,42638814,pa,12/1/2022,11/30/2023,61651.2,0.14,8631.168,8000,8000,,,,TRUE,FALSE,,
EVONIK DEGUSSA CORPORATION,1003851198,260663144,42638814,pa,12/1/2022,11/30/2023,58537.44,0.14,8195.2416,8000,8000,,,,TRUE,FALSE,,
FANNIE MAE,1003850005,136704660,42638814,pa,1/1/2022,12/31/2022,116250,0.14,16275,8000,8000,,,,FALSE,,FALSE,TRUE
FINANCE OF AMERICA HOLDINGS LLC,1005666101,135781997,42638816,pa,1/1/2022,12/31/2022,20510,0.14,2871.4,8000,2871.4,,,,FALSE,,,
FIRST INTERSTATE BANK,1003853476,132208734,42638816,pa,2/28/2022,2/27/2023,41574.98,0.14,5820.4972,8000,5820.4972,,,,FALSE,,,
